id_nestbox;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length
DIJ-117;2021;13/05/2021;07/04/2021;10/04/2021;30/04/2021;5;5;0;0;NA;NA;PM;NA;NA;NA
DIJ-117;2022;07/05/2022;01/04/2022;11/04/2022;24/04/2022;12;12;8;1;8877366;NA;PM;NA;19,3050000000000;41,8125000000000
DIJ-118;2020;05/05/2020;02/04/2020;NA;NA;8;8;6;0;NA;NA;CC;10,51500000000000;16,6700000000000;NA
DIJ-118;2022;18/04/2022;02/04/2022;NA;NA;3;0;0;0;NA;NA;CC;NA;NA;NA
DIJ-119;2019;10/05/2019;04/04/2019;13/04/2019;27/04/2019;11;11;0;0;NA;NA;CC;NA;NA;NA
DIJ-119;2021;12/05/2021;04/04/2021;11/04/2021;29/04/2021;9;9;5;0;NA;NA;CC;7,98400000000000;15,5080000000000;31,6000000000000
DIJ-119;2022;03/05/2022;27/03/2022;06/04/2022;20/04/2022;12;12;9;0;NA;NA;CC;10,01888888888889;17,1655555555556;36,5555555555556
DIJ-121;2019;15/05/2019;10/04/2019;NA;NA;10;10;6;0;NA;NA;CC;7,26000000000000;NA;NA
DIJ-121;2020;13/05/2020;16/04/2020;NA;NA;9;9;4;0;NA;NA;CC;7,91500000000000;14,6750000000000;NA
DIJ-121;2021;13/05/2021;06/04/2021;15/04/2021;30/04/2021;8;8;5;0;NA;8791991;PM;12,48000000000000;17,5540000000000;31,8000000000000
DIJ-121;2022;03/05/2022;27/03/2022;06/04/2022;20/04/2022;10;10;8;0;NA;NA;PM;13,05750000000000;18,2650000000000;34,4375000000000
DIJ-123;2020;09/05/2020;07/04/2020;NA;26/04/2020;7;7;0;0;NA;NA;PM;NA;NA;NA
DIJ-125;2022;10/05/2022;09/04/2022;13/04/2022;27/04/2022;6;6;5;0;8877384;8877385;PM;16,09800000000000;18,5040000000000;45,3000000000000
DIJ-126;2019;17/05/2019;17/04/2019;NA;NA;6;5;3;0;NA;NA;PM;13,56666666666667;NA;NA
